external_id,lemma,translation_en,translation_fa,perfect_auxiliary,participle_ii,separable,separable_prefix,cefr,example_de,example_en,example_fa
verb.arbeiten,arbeiten,to work,کار کردن,haben,gearbeitet,false,,A2,Ich kann selbstständig und im Team arbeiten.,I can work independently and as part of a team.,می‌توانم هم مستقل و هم در یک تیم کار کنم.
verb.entwickeln,entwickeln,to develop,توسعه دادن,haben,entwickelt,false,,A2,Ich kann REST-APIs entwickeln.,I can develop REST APIs.,می‌توانم REST API توسعه دهم.
verb.programmieren,programmieren,to program,برنامه‌نویسی کردن,haben,programmiert,false,,A2,Ich kann Backend-Services in Python programmieren.,I can program backend services in Python.,می‌توانم سرویس‌های بک‌اند را با پایتون برنامه‌نویسی کنم.
verb.implementieren,implementieren,to implement,پیاده‌سازی کردن,haben,implementiert,false,,B1,Ich kann neue Funktionen sauber implementieren.,I can implement new features cleanly.,می‌توانم قابلیت‌های جدید را تمیز و اصولی پیاده‌سازی کنم.
verb.testen,testen,to test,تست کردن,haben,getestet,false,,A2,Ich kann APIs automatisiert testen.,I can test APIs automatically.,می‌توانم APIها را به‌صورت خودکار تست کنم.
verb.pruefen,prüfen,to check,بررسی کردن,haben,geprüft,false,,A2,Ich kann Eingabedaten vor der Verarbeitung prüfen.,I can check input data before processing.,می‌توانم داده‌های ورودی را قبل از پردازش بررسی کنم.
verb.analysieren,analysieren,to analyze,تحلیل کردن,haben,analysiert,false,,B1,Ich kann Fehler und Logs systematisch analysieren.,I can systematically analyze errors and logs.,می‌توانم خطاها و لاگ‌ها را به‌صورت سیستماتیک تحلیل کنم.
verb.planen,planen,to plan,برنامه‌ریزی کردن,haben,geplant,false,,A2,Ich kann technische Aufgaben realistisch planen.,I can plan technical tasks realistically.,می‌توانم وظایف فنی را واقع‌بینانه برنامه‌ریزی کنم.
verb.entwerfen,entwerfen,to design,طراحی کردن,haben,entworfen,false,,B1,Ich kann eine einfache Systemarchitektur entwerfen.,I can design a simple system architecture.,می‌توانم یک معماری ساده برای سیستم طراحی کنم.
verb.gestalten,gestalten,to design / shape,طراحی و شکل‌دهی کردن,haben,gestaltet,false,,B1,Ich kann Benutzeroberflächen klar gestalten.,I can design clear user interfaces.,می‌توانم رابط‌های کاربری واضح طراحی کنم.
verb.verbessern,verbessern,to improve,بهبود دادن,haben,verbessert,false,,A2,Ich kann bestehende Lösungen schrittweise verbessern.,I can improve existing solutions step by step.,می‌توانم راه‌حل‌های موجود را مرحله‌به‌مرحله بهبود دهم.
verb.optimieren,optimieren,to optimize,بهینه‌سازی کردن,haben,optimiert,false,,B1,Ich kann langsame Datenbankabfragen optimieren.,I can optimize slow database queries.,می‌توانم کوئری‌های کند پایگاه‌داده را بهینه کنم.
verb.loesen,lösen,to solve,حل کردن,haben,gelöst,false,,A2,Ich kann technische Probleme strukturiert lösen.,I can solve technical problems in a structured way.,می‌توانم مشکلات فنی را به‌صورت ساختاریافته حل کنم.
verb.finden,finden,to find,پیدا کردن,haben,gefunden,false,,A2,Ich kann die Ursache eines Fehlers finden.,I can find the cause of an error.,می‌توانم علت یک خطا را پیدا کنم.
verb.beheben,beheben,to fix,برطرف کردن,haben,behoben,false,,B1,Ich kann Produktionsfehler sicher beheben.,I can safely fix production errors.,می‌توانم خطاهای پروداکشن را با اطمینان برطرف کنم.
verb.integrieren,integrieren,to integrate,یکپارچه کردن,haben,integriert,false,,B1,Ich kann externe APIs in ein System integrieren.,I can integrate external APIs into a system.,می‌توانم APIهای خارجی را در یک سیستم یکپارچه کنم.
verb.verbinden,verbinden,to connect,متصل کردن,haben,verbunden,false,,A2,Ich kann Frontend und Backend über APIs verbinden.,I can connect frontend and backend through APIs.,می‌توانم فرانت‌اند و بک‌اند را از طریق APIها به هم متصل کنم.
